Date,IE00B84J9L26,IE00BK1KHS51,IE00BRB37Q12,IE00BRB37T43,IE00BYR8FS70,LP68838366,LU0067412154,LU0110450813,LU0154237738,LU0329760770,LU1670722161,LU1670724373,LU1889097876,LU1897340425,LU2286300988,LU2530434740,PTF
2023-02-06,343513.17000000004,256419.2617987,285793.2206052,257499.14248369998,34456.07,,130802.06799099999,253924.6095657,135697.17994,142953.2,301683.2436,345670.72339999996,184267.5742965,172093.2,55827.2,214759.92,3115359.7836808
2023-02-07,343783.44,256021.94741760002,287308.0334124,258210.4696188,34284.03,,131391.2968902,254539.9773783,136080.0567415,143389.80000000002,301533.1352,344552.5794,184419.2305008,171975.65000000002,55548.35,214537.14,3117575.1365596
2023-02-08,343783.44,255038.974281,286453.4781234,257442.4624477,34182.83,,131028.16884239999,253472.789178,135675.3070575,143737.6,301839.1254,344584.02719999995,183202.2786137,172445.85,56670.9,214982.7,3114539.9311437
2023-02-09,343242.89999999997,254551.2081749,284968.347384,255849.46808480003,34205.6,,131962.9892236,252264.7274769,135305.521599,142886.6,302020.9875,345583.3684,182675.25323069998,171975.65000000002,56871.100000000006,213868.8,3108232.5210739
2023-02-10,341080.74,255156.40397520002,285595.8231168,256299.6451246,34020.909999999996,,131102.8110214,252416.38357890001,136276.888694,142598.0,304145.5987,342704.1476,183695.77948780003,167861.4,56399.2,213646.02,3102999.7512987
2023-02-13,341621.28,253721.8781461,284694.0905298,255506.60996169999,33952.6,,130785.46756420001,251411.28844950002,135622.3491325,144255.6,302254.8102,341907.47000000003,182077.06210110002,169154.45,55941.6,212977.68000000002,3095884.2360849003
2023-02-14,340540.2,252955.1148488,284011.2767604,254845.24125420002,33970.310000000005,,130260.3406386,251370.15001920002,135521.721878,144233.4,302367.3915,342302.31460000004,181724.1967721,169977.30000000002,56370.600000000006,212086.56,3092536.1182713
2023-02-15,339999.66,253764.3436146,284669.015127,255402.85427789998,33846.340000000004,,128860.649424,251436.34476180002,135948.86022950002,143663.59999999998,302505.9531,341093.32139999996,182346.3394143,169624.65,57328.700000000004,212754.90000000002,3093245.5313491
2023-02-16,339188.85000000003,253685.940508,284037.9827964,254559.22169560002,33821.04,,129611.23964279999,250820.1834849,135986.3350085,142746.0,302835.0369,340474.848,181753.1260025,170447.5,58265.35,212309.34,3090541.9940387
2023-02-17,339188.85000000003,253569.20803759998,284295.2088732,254789.7514014,33709.72,,128343.904194,250361.2365507,135996.999763,142864.4,302817.7167,338783.65520000004,181600.3885562,168684.25,56706.65,211641.0,3083352.9392761
2023-02-20,339188.85000000003,253079.7366097,283663.3713228,254223.49003830002,33722.369999999995,,129476.0050124,249804.815886,135806.986968,143367.6,305080.8895,339643.2284,180696.54833390002,168684.25,56706.65,211641.0,3084785.7920711003
2023-02-21,336756.42000000004,251663.6864196,281874.9175662,252031.77255330002,33497.200000000004,,128011.32648039999,246719.36976389997,135743.418266,142568.4,303063.0862,337896.1284,180510.21229360002,167156.1,55884.399999999994,210749.88,3064126.3179430002
2023-02-22,337026.69,252526.8972499,283579.8632142,253802.80661620002,33456.72,,126957.3026438,248567.00958269997,136450.0976935,141539.80000000002,302583.894,336100.1096,180483.46557019997,166098.15000000002,55248.049999999996,212086.56,3066507.4161705
2023-02-23,338107.77,253560.17342110001,285385.4285226,255946.97042899998,33471.9,,127576.1339828,250381.4768739,136860.387868,142020.8,304529.5298,336578.815,180570.7538364,168331.6,56542.2,213200.46,3083064.3997338
2023-02-24,335945.61,254345.761761,285185.1660672,256113.82533360002,33426.36,,125295.71738819999,250856.13746070003,137340.59689749999,140503.80000000002,303242.06159999996,337396.45780000003,182232.0641487,165040.19999999998,56670.9,212977.68000000002,3076572.3384569
2023-02-27,336756.42000000004,252856.1328202,284046.9285612,255124.0684967,33512.380000000005,,123794.54634219999,250126.13766779998,136676.257421,141850.6,303334.436,335890.4576,181249.55956629998,166333.25,55805.75,212309.34,3069666.2644754
2023-02-28,336756.42000000004,251524.8768669,283949.12085959996,254806.2505599,33378.29,,122614.4892688,249726.4391718,136516.090585,139046.0,303328.6626,335009.9192,181241.90076880003,165040.19999999998,55862.95,212977.68000000002,3061779.2898808
